Step 1, Loss: 12.019381523132324
Step 2, Loss: 11.99634075164795
Step 3, Loss: 11.980951309204102
Step 4, Loss: 11.959770202636719
Step 5, Loss: 11.94036865234375
Step 6, Loss: 11.891300201416016
Step 7, Loss: 11.896232604980469
Step 8, Loss: 11.815714836120605
Step 9, Loss: 11.78093147277832
Step 10, Loss: 11.706422805786133
Step 11, Loss: 11.704708099365234
Step 12, Loss: 11.584332466125488
Step 13, Loss: 11.468178749084473
Step 14, Loss: 11.362890243530273
Step 15, Loss: 11.237289428710938
Step 16, Loss: 11.016521453857422
Step 17, Loss: 10.686822891235352
Step 18, Loss: 10.443628311157227
Step 19, Loss: 10.229388236999512
Step 20, Loss: 10.133108139038086
Step 21, Loss: 9.776702880859375
Step 22, Loss: 9.820780754089355
Step 23, Loss: 9.625932693481445
Step 24, Loss: 9.54376220703125
Step 25, Loss: 9.290231704711914
Step 26, Loss: 8.947721481323242
Step 27, Loss: 8.990873336791992
Step 28, Loss: 8.787583351135254
Step 29, Loss: 8.760732650756836
Step 30, Loss: 8.629426956176758
Step 31, Loss: 8.388933181762695
Step 32, Loss: 8.720783233642578
Step 33, Loss: 8.478414535522461
Step 34, Loss: 8.364742279052734
Step 35, Loss: 8.322587966918945
Step 36, Loss: 8.142547607421875
Step 37, Loss: 8.179678916931152
Step 38, Loss: 8.24471664428711
Step 39, Loss: 8.07370376586914
Step 40, Loss: 7.952633857727051
Step 41, Loss: 8.011899948120117
Step 42, Loss: 7.8157572746276855
Step 43, Loss: 7.535881042480469
Step 44, Loss: 7.810026168823242
Step 45, Loss: 7.574975967407227
Step 46, Loss: 7.723077774047852
Step 47, Loss: 7.210455894470215
Step 48, Loss: 7.349206447601318
Step 49, Loss: 7.250039100646973
Step 50, Loss: 7.346922397613525
Step 51, Loss: 6.930559158325195
Step 52, Loss: 7.114153861999512
Step 53, Loss: 6.927519798278809
Step 54, Loss: 6.992610454559326
Step 55, Loss: 6.93310546875
Step 56, Loss: 6.715616226196289
Step 57, Loss: 6.532599449157715
Step 58, Loss: 6.225321292877197
Step 59, Loss: 6.4598612785339355
Step 60, Loss: 6.383434295654297
Step 61, Loss: 6.446930885314941
Step 62, Loss: 6.409748077392578
Step 63, Loss: 6.283030033111572
Step 64, Loss: 6.149867534637451
Step 65, Loss: 5.998018741607666
Step 66, Loss: 6.086566925048828
Step 67, Loss: 5.889039039611816
Step 68, Loss: 5.853780746459961
Step 69, Loss: 6.049306869506836
Step 70, Loss: 6.01554536819458
Step 71, Loss: 5.701397895812988
Step 72, Loss: 5.9523844718933105
Step 73, Loss: 6.125394821166992
Step 74, Loss: 6.161268711090088
Step 75, Loss: 5.711801528930664
Step 76, Loss: 6.355076313018799
Step 77, Loss: 5.721459865570068
Step 78, Loss: 6.3430986404418945
Step 79, Loss: 6.148410320281982
Step 80, Loss: 5.934208869934082
Step 81, Loss: 6.029248237609863
Step 82, Loss: 5.704470634460449
Step 83, Loss: 5.852751731872559
Step 84, Loss: 5.676253795623779
Step 85, Loss: 5.634171485900879
Step 86, Loss: 5.99137020111084
Step 87, Loss: 5.504974365234375
Step 88, Loss: 5.465932846069336
Step 89, Loss: 5.4834489822387695
Step 90, Loss: 5.779359817504883
Step 91, Loss: 5.775454044342041
Step 92, Loss: 5.885549545288086
Step 93, Loss: 5.441027641296387
Step 94, Loss: 5.712386131286621
Step 95, Loss: 5.43928337097168
Step 96, Loss: 5.5642194747924805
