Step 1, Loss: 11.995315551757812
Step 2, Loss: 11.976686477661133
Step 3, Loss: 11.992147445678711
Step 4, Loss: 11.963025093078613
Step 5, Loss: 11.97655200958252
Step 6, Loss: 11.956649780273438
Step 7, Loss: 11.945093154907227
Step 8, Loss: 11.940849304199219
Step 9, Loss: 11.915294647216797
Step 10, Loss: 11.880142211914062
Step 11, Loss: 11.872434616088867
Step 12, Loss: 11.832795143127441
Step 13, Loss: 11.772109985351562
Step 14, Loss: 11.693742752075195
Step 15, Loss: 11.643044471740723
Step 16, Loss: 11.566237449645996
Step 17, Loss: 11.454813003540039
Step 18, Loss: 11.358390808105469
Step 19, Loss: 11.209057807922363
Step 20, Loss: 11.038647651672363
Step 21, Loss: 10.995543479919434
Step 22, Loss: 10.80893611907959
Step 23, Loss: 10.610769271850586
Step 24, Loss: 10.40771484375
Step 25, Loss: 10.215530395507812
Step 26, Loss: 10.182543754577637
Step 27, Loss: 9.970409393310547
Step 28, Loss: 9.9935941696167
Step 29, Loss: 9.861099243164062
Step 30, Loss: 9.612070083618164
Step 31, Loss: 9.562755584716797
Step 32, Loss: 9.344572067260742
Step 33, Loss: 9.15446949005127
Step 34, Loss: 9.221104621887207
Step 35, Loss: 9.096000671386719
Step 36, Loss: 8.957180976867676
Step 37, Loss: 8.936553955078125
Step 38, Loss: 8.835314750671387
Step 39, Loss: 8.76213550567627
Step 40, Loss: 8.549293518066406
Step 41, Loss: 8.524138450622559
Step 42, Loss: 8.450763702392578
Step 43, Loss: 8.545414924621582
Step 44, Loss: 8.334858894348145
Step 45, Loss: 8.419440269470215
Step 46, Loss: 8.264008522033691
Step 47, Loss: 8.22562313079834
Step 48, Loss: 8.243534088134766
Step 49, Loss: 8.112971305847168
Step 50, Loss: 8.141547203063965
Step 51, Loss: 8.059659004211426
Step 52, Loss: 8.01253604888916
Step 53, Loss: 7.9224982261657715
Step 54, Loss: 7.951063632965088
Step 55, Loss: 7.81541633605957
Step 56, Loss: 7.826403617858887
Step 57, Loss: 7.68764591217041
Step 58, Loss: 7.730072021484375
Step 59, Loss: 7.562096118927002
Step 60, Loss: 7.587497234344482
Step 61, Loss: 7.549999713897705
Step 62, Loss: 7.521878719329834
Step 63, Loss: 7.514925956726074
Step 64, Loss: 7.489607334136963
Step 65, Loss: 7.456651210784912
Step 66, Loss: 7.380215167999268
Step 67, Loss: 7.363090991973877
Step 68, Loss: 7.3330183029174805
Step 69, Loss: 7.199337005615234
Step 70, Loss: 7.266163349151611
Step 71, Loss: 7.072290420532227
Step 72, Loss: 7.128327369689941
Step 73, Loss: 7.05793571472168
Step 74, Loss: 6.9756903648376465
Step 75, Loss: 6.850534439086914
Step 76, Loss: 6.964425563812256
Step 77, Loss: 6.932994842529297
Step 78, Loss: 6.905855178833008
Step 79, Loss: 6.8352508544921875
Step 80, Loss: 6.690133571624756
Step 81, Loss: 6.764069557189941
Step 82, Loss: 7.05625057220459
Step 83, Loss: 6.631529808044434
Step 84, Loss: 6.602762222290039
Step 85, Loss: 6.787692070007324
Step 86, Loss: 6.671775817871094
Step 87, Loss: 6.4981255531311035
Step 88, Loss: 6.493627548217773
Step 89, Loss: 6.4254350662231445
Step 90, Loss: 6.432619571685791
Step 91, Loss: 6.541495323181152
Step 92, Loss: 6.4820332527160645
Step 93, Loss: 6.225688934326172
Step 94, Loss: 6.381242752075195
Step 95, Loss: 6.5238189697265625
Step 96, Loss: 6.365244388580322
Step 97, Loss: 6.385593891143799
Step 98, Loss: 6.4115118980407715
Step 99, Loss: 6.340050220489502
Step 100, Loss: 6.074817657470703
Step 101, Loss: 6.225722789764404
Step 102, Loss: 6.124884605407715
Step 103, Loss: 6.284070014953613
Step 104, Loss: 6.2267231941223145
Step 105, Loss: 6.138468265533447
Step 106, Loss: 6.170331954956055
Step 107, Loss: 6.148096084594727
Step 108, Loss: 6.226728439331055
Step 109, Loss: 6.287806510925293
Step 110, Loss: 5.897931098937988
Step 111, Loss: 6.120899200439453
Step 112, Loss: 6.111761093139648
Step 113, Loss: 6.2798309326171875
Step 114, Loss: 6.071671485900879
Step 115, Loss: 6.197015762329102
Step 116, Loss: 6.203220367431641
Step 117, Loss: 6.000348091125488
Step 118, Loss: 6.129378318786621
Step 119, Loss: 6.112005233764648
Step 120, Loss: 6.194669723510742
Step 121, Loss: 5.999207019805908
Step 122, Loss: 6.076719760894775
Step 123, Loss: 6.211677551269531
Step 124, Loss: 5.906994819641113
Step 125, Loss: 6.227901458740234
Step 126, Loss: 6.127453327178955
Step 127, Loss: 6.020703315734863
Step 128, Loss: 5.9985551834106445
Step 129, Loss: 6.032230377197266
Step 130, Loss: 6.010034561157227
Step 131, Loss: 6.1244049072265625
Step 132, Loss: 6.00549840927124
Step 133, Loss: 6.141402244567871
Step 134, Loss: 6.1280837059021
Step 135, Loss: 5.974478721618652
Step 136, Loss: 6.0002570152282715
Step 137, Loss: 5.840232849121094
Step 138, Loss: 6.053073406219482
Step 139, Loss: 5.870248317718506
Step 140, Loss: 5.921759128570557
Step 141, Loss: 5.947449684143066
Step 142, Loss: 6.01218318939209
Step 143, Loss: 5.878996849060059
Step 144, Loss: 5.982502460479736
Step 145, Loss: 5.975711345672607
Step 146, Loss: 5.867376327514648
Step 147, Loss: 6.073835372924805
Step 148, Loss: 5.996005058288574
Step 149, Loss: 6.040288925170898
Step 150, Loss: 6.007998466491699
Step 151, Loss: 6.087576389312744
Step 152, Loss: 5.918042182922363
Step 153, Loss: 5.784367561340332
Step 154, Loss: 5.937255859375
Step 155, Loss: 5.999832630157471
Step 156, Loss: 5.921265602111816
Step 157, Loss: 5.974102973937988
Step 158, Loss: 5.8503899574279785
Step 159, Loss: 5.973420143127441
Step 160, Loss: 5.982526779174805
Step 161, Loss: 5.906702041625977
Step 162, Loss: 5.96755313873291
Step 163, Loss: 6.135472774505615
Step 164, Loss: 5.796636581420898
Step 165, Loss: 5.830928802490234
Step 166, Loss: 5.92896032333374
Step 167, Loss: 5.912158966064453
Step 168, Loss: 5.950469493865967
Step 169, Loss: 5.980006217956543
Step 170, Loss: 5.613866329193115
Step 171, Loss: 5.772857666015625
Step 172, Loss: 5.836389541625977
Step 173, Loss: 5.74612283706665
Step 174, Loss: 5.929734706878662
Step 175, Loss: 5.879875183105469
Step 176, Loss: 6.041818618774414
Step 177, Loss: 5.851491451263428
Step 178, Loss: 5.871362686157227
Step 179, Loss: 5.842978477478027
Step 180, Loss: 5.842350959777832
Step 181, Loss: 5.767050743103027
Step 182, Loss: 5.856344223022461
Step 183, Loss: 5.878543853759766
Step 184, Loss: 5.6942620277404785
Step 185, Loss: 5.775781631469727
Step 186, Loss: 5.746088027954102
Step 187, Loss: 5.827459335327148
Step 188, Loss: 5.6202898025512695
Step 189, Loss: 5.909099578857422
Step 190, Loss: 5.797161102294922
Step 191, Loss: 5.819053649902344
Step 192, Loss: 5.704858779907227
Step 193, Loss: 5.964916229248047
Step 194, Loss: 5.890558242797852
Step 195, Loss: 5.894589424133301
Step 196, Loss: 5.758234977722168
Step 197, Loss: 5.809239864349365
Step 198, Loss: 5.846067428588867
Step 199, Loss: 5.770309925079346
Step 200, Loss: 5.713446617126465
Step 201, Loss: 5.859922409057617
Step 202, Loss: 5.790921211242676
Step 203, Loss: 5.6066107749938965
