Step 1, Loss: 12.049623489379883
Step 2, Loss: 12.008968353271484
Step 3, Loss: 11.957178115844727
Step 4, Loss: 11.966282844543457
Step 5, Loss: 11.911500930786133
Step 6, Loss: 11.842937469482422
Step 7, Loss: 11.78885269165039
Step 8, Loss: 11.74250316619873
Step 9, Loss: 11.651683807373047
Step 10, Loss: 11.534162521362305
Step 11, Loss: 11.439661026000977
Step 12, Loss: 11.347021102905273
Step 13, Loss: 11.21117877960205
Step 14, Loss: 10.88115119934082
Step 15, Loss: 10.673807144165039
Step 16, Loss: 10.358986854553223
Step 17, Loss: 10.101095199584961
Step 18, Loss: 9.895025253295898
Step 19, Loss: 9.639266014099121
Step 20, Loss: 9.400662422180176
Step 21, Loss: 9.381471633911133
Step 22, Loss: 8.907988548278809
Step 23, Loss: 9.016439437866211
Step 24, Loss: 8.814088821411133
Step 25, Loss: 8.791921615600586
Step 26, Loss: 8.634031295776367
Step 27, Loss: 8.5242280960083
Step 28, Loss: 8.142287254333496
Step 29, Loss: 8.139965057373047
Step 30, Loss: 7.965389251708984
Step 31, Loss: 7.9237775802612305
Step 32, Loss: 8.07176399230957
Step 33, Loss: 7.931929588317871
Step 34, Loss: 7.775665283203125
Step 35, Loss: 7.7316789627075195
Step 36, Loss: 7.39174222946167
Step 37, Loss: 7.417048931121826
Step 38, Loss: 7.14349889755249
Step 39, Loss: 7.188671588897705
Step 40, Loss: 7.073616027832031
Step 41, Loss: 7.087396621704102
Step 42, Loss: 6.669558525085449
Step 43, Loss: 6.911894798278809
Step 44, Loss: 6.9090070724487305
Step 45, Loss: 6.679108142852783
Step 46, Loss: 6.647741317749023
Step 47, Loss: 6.605036735534668
Step 48, Loss: 6.301697731018066
Step 49, Loss: 6.202108860015869
Step 50, Loss: 6.251554489135742
Step 51, Loss: 6.029172897338867
Step 52, Loss: 6.0512895584106445
Step 53, Loss: 5.688974857330322
Step 54, Loss: 5.711032867431641
Step 55, Loss: 5.558284759521484
Step 56, Loss: 5.463628768920898
Step 57, Loss: 5.355995178222656
Step 58, Loss: 5.445815086364746
Step 59, Loss: 5.146440505981445
Step 60, Loss: 5.321009635925293
Step 61, Loss: 5.267938613891602
Step 62, Loss: 5.264759063720703
Step 63, Loss: 4.78840446472168
Step 64, Loss: 4.816835403442383
Step 65, Loss: 4.858520030975342
Step 66, Loss: 4.9207234382629395
Step 67, Loss: 5.014728546142578
Step 68, Loss: 4.896595001220703
Step 69, Loss: 4.996146202087402
Step 70, Loss: 4.767049312591553
Step 71, Loss: 4.741550922393799
Step 72, Loss: 5.016437530517578
Step 73, Loss: 4.685412406921387
Step 74, Loss: 4.821462631225586
Step 75, Loss: 4.5605669021606445
Step 76, Loss: 4.921778678894043
Step 77, Loss: 4.773988723754883
