Step 1, Loss: 45.227474212646484
Step 2, Loss: 38.779335021972656
Step 3, Loss: 31.12966537475586
Step 4, Loss: 26.532560348510742
Step 5, Loss: 22.560985565185547
Step 6, Loss: 21.145828247070312
Step 7, Loss: 21.441123962402344
Step 8, Loss: 22.462894439697266
Step 9, Loss: 22.651018142700195
Step 10, Loss: 22.804279327392578
Step 11, Loss: 21.70830535888672
Step 12, Loss: 20.857561111450195
Step 13, Loss: 19.841590881347656
Step 14, Loss: 18.23521614074707
Step 15, Loss: 17.682126998901367
Step 16, Loss: 16.85984230041504
Step 17, Loss: 16.446990966796875
Step 18, Loss: 16.579954147338867
Step 19, Loss: 16.58687973022461
Step 20, Loss: 16.586822509765625
Step 21, Loss: 16.4007625579834
Step 22, Loss: 15.921218872070312
Step 23, Loss: 15.363609313964844
Step 24, Loss: 15.024595260620117
Step 25, Loss: 14.432214736938477
Step 26, Loss: 14.162555694580078
Step 27, Loss: 13.755163192749023
Step 28, Loss: 13.445146560668945
Step 29, Loss: 13.267988204956055
Step 30, Loss: 13.067558288574219
Step 31, Loss: 12.94188117980957
Step 32, Loss: 13.020455360412598
Step 33, Loss: 12.548127174377441
Step 34, Loss: 12.111647605895996
Step 35, Loss: 11.997154235839844
Step 36, Loss: 11.531599044799805
Step 37, Loss: 11.24244213104248
Step 38, Loss: 11.33171272277832
Step 39, Loss: 10.972640037536621
Step 40, Loss: 10.824542999267578
Step 41, Loss: 10.706676483154297
Step 42, Loss: 10.50662612915039
Step 43, Loss: 10.413017272949219
Step 44, Loss: 10.198390007019043
Step 45, Loss: 9.971233367919922
Step 46, Loss: 9.80016803741455
Step 47, Loss: 9.567238807678223
Step 48, Loss: 9.474799156188965
Step 49, Loss: 9.375316619873047
Step 50, Loss: 9.073051452636719
Step 51, Loss: 9.022371292114258
Step 52, Loss: 8.772043228149414
Step 53, Loss: 8.84510612487793
Step 54, Loss: 8.751439094543457
Step 55, Loss: 8.635979652404785
Step 56, Loss: 8.438485145568848
Step 57, Loss: 8.359663009643555
Step 58, Loss: 8.14825439453125
Step 59, Loss: 8.159103393554688
Step 60, Loss: 8.08039665222168
Step 61, Loss: 8.235901832580566
Step 62, Loss: 7.862269401550293
Step 63, Loss: 7.848291873931885
Step 64, Loss: 7.6480488777160645
Step 65, Loss: 7.68278694152832
Step 66, Loss: 7.651351451873779
Step 67, Loss: 7.529913425445557
Step 68, Loss: 7.650758266448975
Step 69, Loss: 7.437074661254883
Step 70, Loss: 7.317111968994141
Step 71, Loss: 7.420871734619141
Step 72, Loss: 7.232944965362549
Step 73, Loss: 7.282862663269043
Step 74, Loss: 7.032690048217773
Step 75, Loss: 7.191123962402344
Step 76, Loss: 6.943582534790039
Step 77, Loss: 6.973924160003662
Step 78, Loss: 6.9272637367248535
Step 79, Loss: 6.805010795593262
Step 80, Loss: 6.67417049407959
Step 81, Loss: 6.666547775268555
Step 82, Loss: 6.671250820159912
Step 83, Loss: 6.647210121154785
Step 84, Loss: 6.59141731262207
Step 85, Loss: 6.472528457641602
Step 86, Loss: 6.43464994430542
Step 87, Loss: 6.533585548400879
Step 88, Loss: 6.448398590087891
Step 89, Loss: 6.410122394561768
Step 90, Loss: 6.280742645263672
Step 91, Loss: 6.233141899108887
Step 92, Loss: 6.233445644378662
Step 93, Loss: 6.261134147644043
Step 94, Loss: 6.132930278778076
Step 95, Loss: 6.106388092041016
Step 96, Loss: 5.993187427520752
Step 97, Loss: 5.965571880340576
Step 98, Loss: 5.945554733276367
Step 99, Loss: 5.92523193359375
Step 100, Loss: 5.933544158935547
Step 101, Loss: 5.904623508453369
Step 102, Loss: 5.971005439758301
Step 103, Loss: 5.838559627532959
Step 104, Loss: 5.760443687438965
Step 105, Loss: 5.823486328125
Step 106, Loss: 5.818025588989258
Step 107, Loss: 5.843963623046875
Step 108, Loss: 5.700331211090088
Step 109, Loss: 5.596282482147217
Step 110, Loss: 5.6063971519470215
Step 111, Loss: 5.696928977966309
Step 112, Loss: 5.662496089935303
Step 113, Loss: 5.55623722076416
Step 114, Loss: 5.53219747543335
Step 115, Loss: 5.545332431793213
Step 116, Loss: 5.500613212585449
Step 117, Loss: 5.448251247406006
Step 118, Loss: 5.418385028839111
Step 119, Loss: 5.4326066970825195
Step 120, Loss: 5.457350730895996
Step 121, Loss: 5.431172847747803
Step 122, Loss: 5.382864475250244
Step 123, Loss: 5.284027099609375
Step 124, Loss: 5.3340044021606445
Step 125, Loss: 5.260197639465332
Step 126, Loss: 5.237761497497559
Step 127, Loss: 5.162791728973389
Step 128, Loss: 5.1832380294799805
Step 129, Loss: 5.133386611938477
Step 130, Loss: 5.2322845458984375
Step 131, Loss: 5.152174472808838
Step 132, Loss: 5.205657482147217
Step 133, Loss: 5.0927605628967285
Step 134, Loss: 5.130046844482422
Step 135, Loss: 5.03127908706665
Step 136, Loss: 5.072393894195557
Step 137, Loss: 4.983129978179932
Step 138, Loss: 4.923371315002441
Step 139, Loss: 4.872376441955566
Step 140, Loss: 4.949684143066406
Step 141, Loss: 4.905420303344727
Step 142, Loss: 4.8679094314575195
Step 143, Loss: 4.832614421844482
Step 144, Loss: 4.878381252288818
Step 145, Loss: 4.887693405151367
Step 146, Loss: 4.784086227416992
Step 147, Loss: 4.764136791229248
Step 148, Loss: 4.826882362365723
Step 149, Loss: 4.853409767150879
Step 150, Loss: 4.723630905151367
Step 151, Loss: 4.704823970794678
Step 152, Loss: 4.7134575843811035
Step 153, Loss: 4.681933403015137
Step 154, Loss: 4.679583549499512
Step 155, Loss: 4.7260308265686035
Step 156, Loss: 4.645272254943848
Step 157, Loss: 4.687578201293945
Step 158, Loss: 4.589028358459473
Step 159, Loss: 4.632152557373047
Step 160, Loss: 4.592891216278076
Step 161, Loss: 4.578442096710205
Step 162, Loss: 4.615280628204346
Step 163, Loss: 4.531386852264404
Step 164, Loss: 4.586720943450928
Step 165, Loss: 4.564604759216309
Step 166, Loss: 4.515949726104736
Step 167, Loss: 4.451085090637207
Step 168, Loss: 4.474374771118164
Step 169, Loss: 4.515445709228516
Step 170, Loss: 4.522199630737305
Step 171, Loss: 4.430562973022461
Step 172, Loss: 4.400938034057617
Step 173, Loss: 4.318323135375977
