Step 1, Loss: 63.42841339111328
Step 2, Loss: 49.46990203857422
Step 3, Loss: 40.885841369628906
Step 4, Loss: 36.37787628173828
Step 5, Loss: 33.93563461303711
Step 6, Loss: 31.14801025390625
Step 7, Loss: 28.773069381713867
Step 8, Loss: 26.3404541015625
Step 9, Loss: 24.710269927978516
Step 10, Loss: 23.086593627929688
Step 11, Loss: 22.314064025878906
Step 12, Loss: 21.336193084716797
Step 13, Loss: 21.024200439453125
Step 14, Loss: 20.692235946655273
Step 15, Loss: 19.461530685424805
Step 16, Loss: 19.07007598876953
Step 17, Loss: 17.534631729125977
Step 18, Loss: 17.870023727416992
Step 19, Loss: 16.925870895385742
Step 20, Loss: 16.113677978515625
Step 21, Loss: 15.693536758422852
Step 22, Loss: 15.412394523620605
Step 23, Loss: 15.101980209350586
Step 24, Loss: 14.389684677124023
Step 25, Loss: 14.039669036865234
Step 26, Loss: 14.210490226745605
Step 27, Loss: 13.399591445922852
Step 28, Loss: 13.365896224975586
Step 29, Loss: 13.247143745422363
Step 30, Loss: 12.758573532104492
Step 31, Loss: 12.717177391052246
Step 32, Loss: 12.46773624420166
Step 33, Loss: 11.901986122131348
Step 34, Loss: 11.762777328491211
Step 35, Loss: 11.48475456237793
Step 36, Loss: 11.328948974609375
Step 37, Loss: 11.39310073852539
Step 38, Loss: 10.97488021850586
Step 39, Loss: 11.219207763671875
Step 40, Loss: 10.892585754394531
Step 41, Loss: 10.670772552490234
Step 42, Loss: 10.57077407836914
Step 43, Loss: 10.442889213562012
Step 44, Loss: 10.131423950195312
Step 45, Loss: 10.075414657592773
Step 46, Loss: 10.093852043151855
Step 47, Loss: 10.09097671508789
Step 48, Loss: 9.800382614135742
Step 49, Loss: 9.827322959899902
Step 50, Loss: 9.493307113647461
Step 51, Loss: 9.600061416625977
Step 52, Loss: 9.312435150146484
Step 53, Loss: 9.391546249389648
Step 54, Loss: 9.05318546295166
Step 55, Loss: 8.787389755249023
Step 56, Loss: 8.807208061218262
Step 57, Loss: 9.340936660766602
Step 58, Loss: 8.879669189453125
Step 59, Loss: 8.618480682373047
Step 60, Loss: 8.80341625213623
Step 61, Loss: 8.861291885375977
Step 62, Loss: 8.421708106994629
Step 63, Loss: 8.212008476257324
Step 64, Loss: 8.131186485290527
Step 65, Loss: 8.18674087524414
Step 66, Loss: 8.106536865234375
Step 67, Loss: 7.938745498657227
Step 68, Loss: 8.043197631835938
Step 69, Loss: 8.014459609985352
Step 70, Loss: 7.905373573303223
Step 71, Loss: 7.888607501983643
Step 72, Loss: 7.719357490539551
Step 73, Loss: 7.559323310852051
Step 74, Loss: 7.415860176086426
Step 75, Loss: 7.6612982749938965
Step 76, Loss: 7.480094909667969
Step 77, Loss: 7.421847820281982
Step 78, Loss: 7.391709327697754
Step 79, Loss: 7.3655805587768555
Step 80, Loss: 7.260486125946045
Step 81, Loss: 7.155947685241699
Step 82, Loss: 7.070049285888672
Step 83, Loss: 7.181981086730957
Step 84, Loss: 7.150940895080566
Step 85, Loss: 7.073958396911621
Step 86, Loss: 6.973830223083496
Step 87, Loss: 6.971396446228027
Step 88, Loss: 6.923378944396973
Step 89, Loss: 6.84929895401001
Step 90, Loss: 6.751091003417969
Step 91, Loss: 6.630547523498535
Step 92, Loss: 6.857297897338867
Step 93, Loss: 6.5643463134765625
Step 94, Loss: 6.693271636962891
Step 95, Loss: 6.516295909881592
Step 96, Loss: 6.706291675567627
Step 97, Loss: 6.679998397827148
Step 98, Loss: 6.5995941162109375
Step 99, Loss: 6.543537616729736
Step 100, Loss: 6.536899566650391
Step 101, Loss: 6.366266250610352
Step 102, Loss: 6.545415878295898
Step 103, Loss: 6.25087833404541
Step 104, Loss: 6.330546855926514
Step 105, Loss: 6.291947364807129
Step 106, Loss: 6.307021141052246
Step 107, Loss: 6.182595252990723
Step 108, Loss: 6.100440979003906
Step 109, Loss: 6.253872871398926
Step 110, Loss: 6.271953582763672
Step 111, Loss: 6.093749046325684
Step 112, Loss: 6.014705657958984
Step 113, Loss: 6.213446617126465
Step 114, Loss: 6.021576404571533
Step 115, Loss: 5.94293212890625
Step 116, Loss: 5.844605445861816
Step 117, Loss: 5.817030906677246
Step 118, Loss: 6.120375633239746
Step 119, Loss: 5.860408782958984
Step 120, Loss: 5.67813777923584
Step 121, Loss: 5.706674098968506
Step 122, Loss: 5.91302490234375
Step 123, Loss: 5.726945877075195
Step 124, Loss: 5.642121315002441
Step 125, Loss: 5.592335224151611
Step 126, Loss: 5.739847183227539
Step 127, Loss: 5.540987491607666
Step 128, Loss: 5.625439167022705
Step 129, Loss: 5.602943420410156
Step 130, Loss: 5.648802757263184
Step 131, Loss: 5.446293354034424
Step 132, Loss: 5.405914306640625
Step 133, Loss: 5.5597615242004395
Step 134, Loss: 5.624986171722412
Step 135, Loss: 5.346168518066406
Step 136, Loss: 5.634840965270996
Step 137, Loss: 5.399072647094727
Step 138, Loss: 5.459399700164795
Step 139, Loss: 5.289330005645752
Step 140, Loss: 5.11073112487793
Step 141, Loss: 5.3666863441467285
Step 142, Loss: 5.2851881980896
Step 143, Loss: 5.292400360107422
Step 144, Loss: 5.240859508514404
Step 145, Loss: 5.274706840515137
Step 146, Loss: 5.1533122062683105
Step 147, Loss: 5.052863597869873
Step 148, Loss: 5.280888557434082
Step 149, Loss: 5.0611467361450195
Step 150, Loss: 5.0482892990112305
Step 151, Loss: 5.314939498901367
Step 152, Loss: 4.978224754333496
Step 153, Loss: 4.959836959838867
Step 154, Loss: 5.020640850067139
Step 155, Loss: 5.187585353851318
Step 156, Loss: 4.921787261962891
Step 157, Loss: 5.0325493812561035
Step 158, Loss: 4.898868083953857
Step 159, Loss: 4.855932712554932
Step 160, Loss: 4.978489875793457
Step 161, Loss: 5.004990577697754
Step 162, Loss: 4.900909900665283
Step 163, Loss: 4.856468677520752
Step 164, Loss: 4.791687965393066
Step 165, Loss: 4.687532424926758
Step 166, Loss: 4.851990699768066
Step 167, Loss: 4.948256492614746
Step 168, Loss: 4.670983791351318
Step 169, Loss: 4.857961654663086
Step 170, Loss: 4.812399387359619
Step 171, Loss: 4.803157806396484
Step 172, Loss: 4.673601150512695
Step 173, Loss: 4.587037086486816
Step 174, Loss: 4.744468688964844
Step 175, Loss: 4.697194576263428
Step 176, Loss: 4.738064289093018
Step 177, Loss: 4.7037763595581055
Step 178, Loss: 4.681772232055664
Step 179, Loss: 4.621585845947266
Step 180, Loss: 4.719280242919922
Step 181, Loss: 4.567148208618164
Step 182, Loss: 4.699346542358398
Step 183, Loss: 4.4648003578186035
Step 184, Loss: 4.543500900268555
Step 185, Loss: 4.553074836730957
Step 186, Loss: 4.493959903717041
Step 187, Loss: 4.682613372802734
Step 188, Loss: 4.691478729248047
Step 189, Loss: 4.4709625244140625
Step 190, Loss: 4.383449077606201
Step 191, Loss: 4.540116310119629
Step 192, Loss: 4.467615127563477
Step 193, Loss: 4.571182727813721
Step 194, Loss: 4.656538963317871
Step 195, Loss: 4.43342924118042
Step 196, Loss: 4.372104167938232
Step 197, Loss: 4.512134552001953
Step 198, Loss: 4.419430255889893
Step 199, Loss: 4.344113349914551
Step 200, Loss: 4.4447736740112305
Step 201, Loss: 4.368843078613281
Step 202, Loss: 4.330639839172363
Step 203, Loss: 4.276946067810059
Step 204, Loss: 4.42283821105957
Step 205, Loss: 4.378081798553467
Step 206, Loss: 4.369129180908203
Step 207, Loss: 4.376010417938232
Step 208, Loss: 4.35603141784668
Step 209, Loss: 4.132869720458984
Step 210, Loss: 4.327853202819824
Step 211, Loss: 4.210472106933594
Step 212, Loss: 4.14295768737793
Step 213, Loss: 4.314824104309082
Step 214, Loss: 4.312387466430664
Step 215, Loss: 4.28011417388916
Step 216, Loss: 4.259975433349609
Step 217, Loss: 4.2570085525512695
Step 218, Loss: 4.111156940460205
Step 219, Loss: 4.309591770172119
Step 220, Loss: 4.183985710144043
Step 221, Loss: 4.159894943237305
Step 222, Loss: 4.344911575317383
Step 223, Loss: 4.295196533203125
Step 224, Loss: 4.1064229011535645
Step 225, Loss: 4.12760066986084
Step 226, Loss: 4.071695327758789
Step 227, Loss: 4.282465934753418
Step 228, Loss: 4.224475860595703
Step 229, Loss: 4.300904750823975
Step 230, Loss: 4.165650367736816
Step 231, Loss: 4.03121280670166
Step 232, Loss: 4.092326641082764
Step 233, Loss: 4.1374592781066895
Step 234, Loss: 4.133187294006348
Step 235, Loss: 4.166695594787598
Step 236, Loss: 4.260068893432617
Step 237, Loss: 4.0183491706848145
Step 238, Loss: 4.0431904792785645
Step 239, Loss: 4.130699157714844
Step 240, Loss: 4.078791618347168
Step 241, Loss: 4.112335205078125
Step 242, Loss: 3.8855695724487305
Step 243, Loss: 3.997647762298584
Step 244, Loss: 3.965259075164795
Step 245, Loss: 4.06986141204834
Step 246, Loss: 3.9216270446777344
Step 247, Loss: 4.005381107330322
Step 248, Loss: 4.010510444641113
Step 249, Loss: 3.9125332832336426
Step 250, Loss: 4.008350372314453
Step 251, Loss: 4.0770440101623535
Step 252, Loss: 4.033171653747559
Step 253, Loss: 3.9415769577026367
Step 254, Loss: 4.058277130126953
Step 255, Loss: 3.9344677925109863
Step 256, Loss: 3.8767800331115723
Step 257, Loss: 4.046654224395752
Step 258, Loss: 3.9317831993103027
Step 259, Loss: 3.862656593322754
Step 260, Loss: 3.9411587715148926
Step 261, Loss: 3.768284797668457
Step 262, Loss: 3.895592451095581
Step 263, Loss: 3.88053035736084
Step 264, Loss: 3.9173977375030518
Step 265, Loss: 3.8605799674987793
Step 266, Loss: 3.887181520462036
Step 267, Loss: 3.7642016410827637
Step 268, Loss: 3.8041372299194336
Step 269, Loss: 3.7620933055877686
Step 270, Loss: 3.887596368789673
