Step 1, Loss: 13.947159767150879
Step 2, Loss: 12.584829330444336
Step 3, Loss: 12.291860580444336
Step 4, Loss: 11.895454406738281
Step 5, Loss: 11.180140495300293
Step 6, Loss: 11.15312671661377
Step 7, Loss: 10.890959739685059
Step 8, Loss: 10.73515796661377
Step 9, Loss: 10.460342407226562
Step 10, Loss: 10.190206527709961
Step 11, Loss: 10.061944961547852
Step 12, Loss: 10.062850952148438
Step 13, Loss: 9.786497116088867
Step 14, Loss: 9.565045356750488
Step 15, Loss: 9.311275482177734
Step 16, Loss: 9.142547607421875
Step 17, Loss: 8.902312278747559
Step 18, Loss: 8.879603385925293
Step 19, Loss: 8.564680099487305
Step 20, Loss: 8.601754188537598
Step 21, Loss: 8.629976272583008
Step 22, Loss: 8.427205085754395
Step 23, Loss: 8.234848022460938
Step 24, Loss: 8.079577445983887
Step 25, Loss: 8.080353736877441
Step 26, Loss: 7.932982921600342
Step 27, Loss: 7.680626392364502
Step 28, Loss: 7.989474296569824
Step 29, Loss: 7.475324630737305
Step 30, Loss: 7.611033916473389
Step 31, Loss: 7.469992637634277
Step 32, Loss: 7.067051887512207
Step 33, Loss: 7.187063694000244
Step 34, Loss: 7.105658531188965
Step 35, Loss: 7.291922092437744
Step 36, Loss: 6.669304847717285
Step 37, Loss: 6.936334609985352
Step 38, Loss: 6.811493396759033
Step 39, Loss: 6.728493690490723
Step 40, Loss: 6.743880271911621
Step 41, Loss: 6.624480724334717
Step 42, Loss: 5.970437049865723
Step 43, Loss: 6.627668380737305
Step 44, Loss: 6.6320695877075195
Step 45, Loss: 6.389497756958008
Step 46, Loss: 6.422467231750488
Step 47, Loss: 6.190116882324219
Step 48, Loss: 6.102191925048828
Step 49, Loss: 6.534862518310547
Step 50, Loss: 6.184737205505371
Step 51, Loss: 6.264896392822266
Step 52, Loss: 6.210011959075928
Step 53, Loss: 6.2216644287109375
Step 54, Loss: 6.142254829406738
Step 55, Loss: 5.84389591217041
Step 56, Loss: 6.232818603515625
Step 57, Loss: 5.989329814910889
Step 58, Loss: 5.703834533691406
Step 59, Loss: 5.804425239562988
Step 60, Loss: 5.867569923400879
Step 61, Loss: 5.925772666931152
Step 62, Loss: 6.0476884841918945
Step 63, Loss: 5.635677814483643
Step 64, Loss: 5.492237091064453
Step 65, Loss: 5.816301345825195
Step 66, Loss: 5.4976301193237305
Step 67, Loss: 5.816465854644775
Step 68, Loss: 5.639346122741699
Step 69, Loss: 5.708263397216797
Step 70, Loss: 5.705025672912598
Step 71, Loss: 5.54665994644165
Step 72, Loss: 5.832250118255615
Step 73, Loss: 5.4816155433654785
Step 74, Loss: 5.733205795288086
Step 75, Loss: 5.7541279792785645
Step 76, Loss: 5.637344837188721
Step 77, Loss: 5.8187689781188965
Step 78, Loss: 5.597031593322754
Step 79, Loss: 5.493474960327148
Step 80, Loss: 5.293207168579102
Step 81, Loss: 5.556992530822754
Step 82, Loss: 5.515566825866699
Step 83, Loss: 5.518784523010254
Step 84, Loss: 5.640331268310547
Step 85, Loss: 5.378716468811035
Step 86, Loss: 5.551954746246338
Step 87, Loss: 5.650778293609619
Step 88, Loss: 5.509955406188965
Step 89, Loss: 5.531962871551514
Step 90, Loss: 5.063955783843994
Step 91, Loss: 5.06626033782959
Step 92, Loss: 5.294695854187012
Step 93, Loss: 5.2648725509643555
Step 94, Loss: 5.281774997711182
Step 95, Loss: 5.333510398864746
Step 96, Loss: 5.3473334312438965
Step 97, Loss: 5.529675006866455
Step 98, Loss: 5.288084506988525
Step 99, Loss: 5.153443336486816
Step 100, Loss: 5.473871231079102
Step 101, Loss: 5.411492824554443
Step 102, Loss: 5.041252136230469
Step 103, Loss: 5.364564895629883
Step 104, Loss: 5.195926666259766
Step 105, Loss: 5.227450370788574
Step 106, Loss: 5.250086784362793
Step 107, Loss: 5.128960609436035
Step 108, Loss: 4.99189567565918
Step 109, Loss: 5.065852642059326
Step 110, Loss: 5.036744117736816
Step 111, Loss: 4.751439094543457
