Step 1, Loss: 12.658145904541016
Step 2, Loss: 12.140355110168457
Step 3, Loss: 11.716395378112793
Step 4, Loss: 11.287612915039062
Step 5, Loss: 10.938872337341309
Step 6, Loss: 10.552326202392578
Step 7, Loss: 10.171714782714844
Step 8, Loss: 9.78346061706543
Step 9, Loss: 9.446300506591797
Step 10, Loss: 9.151362419128418
Step 11, Loss: 8.874858856201172
Step 12, Loss: 8.714594841003418
Step 13, Loss: 8.5670166015625
Step 14, Loss: 8.500405311584473
Step 15, Loss: 8.24705696105957
Step 16, Loss: 7.995390892028809
Step 17, Loss: 7.814120292663574
Step 18, Loss: 7.57099723815918
Step 19, Loss: 7.40576171875
Step 20, Loss: 7.252186298370361
Step 21, Loss: 7.035493850708008
Step 22, Loss: 6.8083014488220215
Step 23, Loss: 6.77058219909668
Step 24, Loss: 6.500698566436768
Step 25, Loss: 6.301379203796387
Step 26, Loss: 6.04736328125
Step 27, Loss: 5.839798450469971
Step 28, Loss: 5.757173538208008
Step 29, Loss: 5.585212707519531
Step 30, Loss: 5.392024040222168
Step 31, Loss: 5.371787071228027
Step 32, Loss: 5.1147236824035645
Step 33, Loss: 4.924271583557129
Step 34, Loss: 4.771438121795654
Step 35, Loss: 4.702994346618652
Step 36, Loss: 4.447432994842529
Step 37, Loss: 4.421901226043701
Step 38, Loss: 4.327019214630127
Step 39, Loss: 4.305823802947998
Step 40, Loss: 4.2575483322143555
Step 41, Loss: 4.165055751800537
Step 42, Loss: 4.1309814453125
Step 43, Loss: 4.011383056640625
Step 44, Loss: 3.951050043106079
Step 45, Loss: 3.9481422901153564
Step 46, Loss: 3.8649308681488037
Step 47, Loss: 3.8545751571655273
Step 48, Loss: 3.840388774871826
Step 49, Loss: 3.6579477787017822
Step 50, Loss: 3.6748080253601074
Step 51, Loss: 3.6978931427001953
Step 52, Loss: 3.6350111961364746
Step 53, Loss: 3.6628737449645996
Step 54, Loss: 3.5843377113342285
Step 55, Loss: 3.560112953186035
Step 56, Loss: 3.5692014694213867
Step 57, Loss: 3.391530990600586
Step 58, Loss: 3.4591808319091797
Step 59, Loss: 3.552818775177002
Step 60, Loss: 3.3914031982421875
Step 61, Loss: 3.3751919269561768
Step 62, Loss: 3.3748741149902344
Step 63, Loss: 3.28481125831604
Step 64, Loss: 3.3507580757141113
Step 65, Loss: 3.29206919670105
Step 66, Loss: 3.33726167678833
Step 67, Loss: 3.2466578483581543
Step 68, Loss: 3.1770763397216797
Step 69, Loss: 3.2621922492980957
Step 70, Loss: 3.280729293823242
Step 71, Loss: 3.1946661472320557
Step 72, Loss: 3.221428155899048
Step 73, Loss: 3.2375712394714355
Step 74, Loss: 3.183828592300415
Step 75, Loss: 3.2175936698913574
Step 76, Loss: 3.1518778800964355
Step 77, Loss: 3.0914597511291504
Step 78, Loss: 3.1025514602661133
Step 79, Loss: 3.222327470779419
Step 80, Loss: 3.016247272491455
Step 81, Loss: 3.1647021770477295
Step 82, Loss: 3.081240653991699
Step 83, Loss: 3.1008243560791016
Step 84, Loss: 2.99005389213562
Step 85, Loss: 3.0638480186462402
Step 86, Loss: 3.1211724281311035
Step 87, Loss: 3.0023458003997803
Step 88, Loss: 3.063269853591919
Step 89, Loss: 3.009762763977051
Step 90, Loss: 2.9507179260253906
Step 91, Loss: 2.949159860610962
Step 92, Loss: 2.9787442684173584
Step 93, Loss: 2.994410514831543
Step 94, Loss: 2.9876277446746826
Step 95, Loss: 2.9395201206207275
Step 96, Loss: 2.882056474685669
Step 97, Loss: 2.937452554702759
Step 98, Loss: 2.843334197998047
Step 99, Loss: 2.9355199337005615
Step 100, Loss: 2.9141688346862793
Step 101, Loss: 2.8843870162963867
Step 102, Loss: 2.897217273712158
Step 103, Loss: 2.8396410942077637
Step 104, Loss: 2.8611321449279785
Step 105, Loss: 2.8591833114624023
Step 106, Loss: 2.819793701171875
Step 107, Loss: 2.843101739883423
Step 108, Loss: 2.8873538970947266
Step 109, Loss: 2.867460250854492
Step 110, Loss: 2.80076003074646
Step 111, Loss: 2.8553504943847656
Step 112, Loss: 2.7665791511535645
Step 113, Loss: 2.8352065086364746
Step 114, Loss: 2.786896228790283
Step 115, Loss: 2.8263602256774902
Step 116, Loss: 2.731295347213745
Step 117, Loss: 2.784526824951172
Step 118, Loss: 2.7924001216888428
Step 119, Loss: 2.741899013519287
Step 120, Loss: 2.811427354812622
Step 121, Loss: 2.772705316543579
Step 122, Loss: 2.7945711612701416
Step 123, Loss: 2.738138437271118
Step 124, Loss: 2.7368860244750977
Step 125, Loss: 2.725518226623535
Step 126, Loss: 2.7389183044433594
Step 127, Loss: 2.7705295085906982
Step 128, Loss: 2.781172752380371
Step 129, Loss: 2.7137579917907715
Step 130, Loss: 2.6972572803497314
Step 131, Loss: 2.7303409576416016
Step 132, Loss: 2.7678723335266113
Step 133, Loss: 2.7551627159118652
Step 134, Loss: 2.638869047164917
Step 135, Loss: 2.6653220653533936
Step 136, Loss: 2.7803266048431396
Step 137, Loss: 2.74265718460083
Step 138, Loss: 2.7601892948150635
Step 139, Loss: 2.6834006309509277
Step 140, Loss: 2.7023725509643555
Step 141, Loss: 2.6749396324157715
Step 142, Loss: 2.68841552734375
Step 143, Loss: 2.710590362548828
Step 144, Loss: 2.69473934173584
Step 145, Loss: 2.7492990493774414
Step 146, Loss: 2.722083568572998
Step 147, Loss: 2.6574671268463135
Step 148, Loss: 2.675856590270996
Step 149, Loss: 2.617871046066284
Step 150, Loss: 2.669239044189453
Step 151, Loss: 2.660590171813965
Step 152, Loss: 2.66644287109375
Step 153, Loss: 2.7228505611419678
Step 154, Loss: 2.657849073410034
Step 155, Loss: 2.703709363937378
Step 156, Loss: 2.716071128845215
Step 157, Loss: 2.580625534057617
Step 158, Loss: 2.7237942218780518
Step 159, Loss: 2.632148504257202
Step 160, Loss: 2.70322322845459
Step 161, Loss: 2.6401259899139404
Step 162, Loss: 2.575763702392578
Step 163, Loss: 2.7009377479553223
Step 164, Loss: 2.618590831756592
Step 165, Loss: 2.6265246868133545
Step 166, Loss: 2.628256320953369
Step 167, Loss: 2.6190288066864014
Step 168, Loss: 2.5934438705444336
Step 169, Loss: 2.619612693786621
Step 170, Loss: 2.5507051944732666
Step 171, Loss: 2.617802143096924
Step 172, Loss: 2.6369504928588867
Step 173, Loss: 2.5712759494781494
Step 174, Loss: 2.6157805919647217
Step 175, Loss: 2.568960666656494
Step 176, Loss: 2.5527358055114746
Step 177, Loss: 2.548764944076538
Step 178, Loss: 2.517582893371582
Step 179, Loss: 2.63617205619812
Step 180, Loss: 2.5758705139160156
Step 181, Loss: 2.5563507080078125
Step 182, Loss: 2.5378153324127197
Step 183, Loss: 2.597362995147705
Step 184, Loss: 2.573025703430176
Step 185, Loss: 2.5554521083831787
Step 186, Loss: 2.570586681365967
Step 187, Loss: 2.569486141204834
Step 188, Loss: 2.6012802124023438
Step 189, Loss: 2.524111270904541
Step 190, Loss: 2.499021291732788
Step 191, Loss: 2.5495474338531494
Step 192, Loss: 2.545531988143921
Step 193, Loss: 2.4167587757110596
Step 194, Loss: 2.4747302532196045
Step 195, Loss: 2.530050754547119
Step 196, Loss: 2.5290307998657227
Step 197, Loss: 2.5005078315734863
Step 198, Loss: 2.4812583923339844
Step 199, Loss: 2.5678303241729736
Step 200, Loss: 2.459017515182495
Step 201, Loss: 2.4810383319854736
Step 202, Loss: 2.4828081130981445
Step 203, Loss: 2.4792497158050537
Step 204, Loss: 2.507782220840454
Step 205, Loss: 2.4790570735931396
Step 206, Loss: 2.485997200012207
Step 207, Loss: 2.4522523880004883
Step 208, Loss: 2.4645400047302246
Step 209, Loss: 2.475661039352417
Step 210, Loss: 2.477823257446289
Step 211, Loss: 2.4978106021881104
Step 212, Loss: 2.475128650665283
Step 213, Loss: 2.4617223739624023
Step 214, Loss: 2.4480929374694824
Step 215, Loss: 2.4411063194274902
Step 216, Loss: 2.4309399127960205
Step 217, Loss: 2.5154037475585938
Step 218, Loss: 2.5054657459259033
Step 219, Loss: 2.546736240386963
Step 220, Loss: 2.4039597511291504
Step 221, Loss: 2.4631564617156982
Step 222, Loss: 2.415341377258301
Step 223, Loss: 2.4861676692962646
Step 224, Loss: 2.5073623657226562
Step 225, Loss: 2.5016884803771973
Step 226, Loss: 2.4282703399658203
Step 227, Loss: 2.4738528728485107
Step 228, Loss: 2.4249300956726074
Step 229, Loss: 2.430797576904297
Step 230, Loss: 2.394237518310547
Step 231, Loss: 2.394808292388916
Step 232, Loss: 2.4291439056396484
Step 233, Loss: 2.367331027984619
Step 234, Loss: 2.431349515914917
Step 235, Loss: 2.3895792961120605
Step 236, Loss: 2.423544406890869
Step 237, Loss: 2.4309885501861572
Step 238, Loss: 2.4208595752716064
Step 239, Loss: 2.39155650138855
Step 240, Loss: 2.4492926597595215
Step 241, Loss: 2.411581039428711
Step 242, Loss: 2.3732123374938965
Step 243, Loss: 2.406872034072876
Step 244, Loss: 2.3690333366394043
Step 245, Loss: 2.437002182006836
Step 246, Loss: 2.3646883964538574
Step 247, Loss: 2.3982319831848145
Step 248, Loss: 2.441816806793213
Step 249, Loss: 2.4515223503112793
Step 250, Loss: 2.3621087074279785
Step 251, Loss: 2.404933452606201
Step 252, Loss: 2.411895275115967
Step 253, Loss: 2.3728058338165283
Step 254, Loss: 2.3259432315826416
Step 255, Loss: 2.395996570587158
Step 256, Loss: 2.4420228004455566
Step 257, Loss: 2.343538284301758
Step 258, Loss: 2.3714966773986816
Step 259, Loss: 2.389798402786255
Step 260, Loss: 2.355868339538574
Step 261, Loss: 2.381192684173584
Step 262, Loss: 2.443902015686035
Step 263, Loss: 2.271305561065674
Step 264, Loss: 2.393564462661743
Step 265, Loss: 2.373903751373291
Step 266, Loss: 2.4333267211914062
Step 267, Loss: 2.4426159858703613
Step 268, Loss: 2.336361885070801
Step 269, Loss: 2.3932156562805176
Step 270, Loss: 2.3069264888763428
Step 271, Loss: 2.3143715858459473
Step 272, Loss: 2.3471474647521973
Step 273, Loss: 2.3686907291412354
Step 274, Loss: 2.327042579650879
Step 275, Loss: 2.3037374019622803
Step 276, Loss: 2.357041597366333
Step 277, Loss: 2.284461498260498
Step 278, Loss: 2.4201231002807617
Step 279, Loss: 2.391451358795166
Step 280, Loss: 2.3194918632507324
Step 281, Loss: 2.33540940284729
Step 282, Loss: 2.302398443222046
Step 283, Loss: 2.360642910003662
Step 284, Loss: 2.4007492065429688
Step 285, Loss: 2.28631854057312
Step 286, Loss: 2.3591067790985107
Step 287, Loss: 2.3525407314300537
Step 288, Loss: 2.3814477920532227
Step 289, Loss: 2.3562378883361816
Step 290, Loss: 2.2958779335021973
Step 291, Loss: 2.3664770126342773
Step 292, Loss: 2.3604283332824707
Step 293, Loss: 2.3886706829071045
Step 294, Loss: 2.3307087421417236
Step 295, Loss: 2.2945992946624756
Step 296, Loss: 2.3535711765289307
Step 297, Loss: 2.303171396255493
Step 298, Loss: 2.340137243270874
Step 299, Loss: 2.292750835418701
Step 300, Loss: 2.3658130168914795
Step 301, Loss: 2.292555809020996
Step 302, Loss: 2.3142495155334473
Step 303, Loss: 2.3872971534729004
Step 304, Loss: 2.30949330329895
Step 305, Loss: 2.289607524871826
Step 306, Loss: 2.1817851066589355
Step 307, Loss: 2.2375540733337402
Step 308, Loss: 2.2525010108947754
Step 309, Loss: 2.311925172805786
Step 310, Loss: 2.3274154663085938
Step 311, Loss: 2.2633111476898193
Step 312, Loss: 2.2368929386138916
Step 313, Loss: 2.3404178619384766
Step 314, Loss: 2.324345350265503
Step 315, Loss: 2.254582405090332
Step 316, Loss: 2.2801878452301025
Step 317, Loss: 2.259209632873535
Step 318, Loss: 2.2913870811462402
Step 319, Loss: 2.2576870918273926
Step 320, Loss: 2.2470579147338867
Step 321, Loss: 2.2173702716827393
Step 322, Loss: 2.282835006713867
Step 323, Loss: 2.2305374145507812
Step 324, Loss: 2.225458860397339
Step 325, Loss: 2.2801384925842285
Step 326, Loss: 2.2039027214050293
Step 327, Loss: 2.3086156845092773
Step 328, Loss: 2.166377067565918
Step 329, Loss: 2.242931842803955
Step 330, Loss: 2.186699867248535
Step 331, Loss: 2.2249040603637695
Step 332, Loss: 2.2677855491638184
Step 333, Loss: 2.1879525184631348
Step 334, Loss: 2.14835786819458
Step 335, Loss: 2.2790884971618652
Step 336, Loss: 2.2239856719970703
Step 337, Loss: 2.238269329071045
Step 338, Loss: 2.1713438034057617
Step 339, Loss: 2.250983476638794
Step 340, Loss: 2.2330117225646973
Step 341, Loss: 2.243196487426758
Step 342, Loss: 2.1766915321350098
Step 343, Loss: 2.2129006385803223
Step 344, Loss: 2.1974213123321533
Step 345, Loss: 2.193120002746582
Step 346, Loss: 2.202867269515991
Step 347, Loss: 2.1690449714660645
Step 348, Loss: 2.16426420211792
Step 349, Loss: 2.177367925643921
Step 350, Loss: 2.202461004257202
Step 351, Loss: 2.127643346786499
Step 352, Loss: 2.0793874263763428
Step 353, Loss: 2.0655229091644287
Step 354, Loss: 2.1533679962158203
Step 355, Loss: 2.1827967166900635
Step 356, Loss: 2.1075401306152344
Step 357, Loss: 2.116206169128418
Step 358, Loss: 2.0750176906585693
Step 359, Loss: 2.075836181640625
Step 360, Loss: 2.036651611328125
Step 361, Loss: 1.9960401058197021
Step 362, Loss: 2.0614421367645264
Step 363, Loss: 1.9681639671325684
Step 364, Loss: 2.059919834136963
Step 365, Loss: 1.9853858947753906
Step 366, Loss: 2.092965602874756
Step 367, Loss: 1.9741259813308716
Step 368, Loss: 1.9511780738830566
Step 369, Loss: 1.9921948909759521
Step 370, Loss: 1.9806253910064697
Step 371, Loss: 1.953599214553833
Step 372, Loss: 1.893255591392517
Step 373, Loss: 1.8859753608703613
Step 374, Loss: 1.869040846824646
Step 375, Loss: 1.8569058179855347
Step 376, Loss: 1.8214201927185059
Step 377, Loss: 1.8364123106002808
Step 378, Loss: 1.8996180295944214
