Step 1, Loss: 12.898653030395508
Step 2, Loss: 12.077816009521484
Step 3, Loss: 11.937125205993652
Step 4, Loss: 11.444145202636719
Step 5, Loss: 11.2803955078125
Step 6, Loss: 11.035215377807617
Step 7, Loss: 10.91003704071045
Step 8, Loss: 10.66614055633545
Step 9, Loss: 10.28986644744873
Step 10, Loss: 9.953254699707031
Step 11, Loss: 9.820351600646973
Step 12, Loss: 9.577021598815918
Step 13, Loss: 9.451913833618164
Step 14, Loss: 9.085210800170898
Step 15, Loss: 8.860649108886719
Step 16, Loss: 8.749032020568848
Step 17, Loss: 8.647626876831055
Step 18, Loss: 8.423652648925781
Step 19, Loss: 8.168550491333008
Step 20, Loss: 8.244975090026855
Step 21, Loss: 8.083900451660156
Step 22, Loss: 7.927347183227539
Step 23, Loss: 7.679002285003662
Step 24, Loss: 7.512505531311035
Step 25, Loss: 7.306219577789307
Step 26, Loss: 7.3619537353515625
Step 27, Loss: 7.362517356872559
Step 28, Loss: 7.153826713562012
Step 29, Loss: 7.1266632080078125
Step 30, Loss: 7.073612213134766
Step 31, Loss: 6.978428363800049
Step 32, Loss: 6.866469383239746
Step 33, Loss: 6.616495132446289
Step 34, Loss: 6.78538703918457
Step 35, Loss: 6.669977188110352
Step 36, Loss: 6.406594753265381
Step 37, Loss: 6.624897480010986
Step 38, Loss: 6.27860689163208
Step 39, Loss: 6.396290302276611
Step 40, Loss: 6.261961936950684
Step 41, Loss: 6.073065757751465
Step 42, Loss: 6.048151016235352
Step 43, Loss: 5.908802032470703
Step 44, Loss: 5.83210563659668
Step 45, Loss: 5.776949405670166
Step 46, Loss: 5.463680267333984
Step 47, Loss: 5.488751411437988
Step 48, Loss: 5.534851551055908
Step 49, Loss: 5.577418327331543
Step 50, Loss: 5.366526126861572
Step 51, Loss: 5.351949214935303
Step 52, Loss: 5.351667404174805
Step 53, Loss: 5.387399196624756
Step 54, Loss: 5.092351913452148
Step 55, Loss: 5.5248284339904785
Step 56, Loss: 4.926235198974609
Step 57, Loss: 4.924188613891602
Step 58, Loss: 4.872360706329346
Step 59, Loss: 4.945465564727783
Step 60, Loss: 4.973447799682617
Step 61, Loss: 4.79434871673584
Step 62, Loss: 4.762345314025879
Step 63, Loss: 4.738664627075195
Step 64, Loss: 4.591845512390137
Step 65, Loss: 4.731861591339111
Step 66, Loss: 4.511887550354004
Step 67, Loss: 4.520929336547852
Step 68, Loss: 4.386999130249023
Step 69, Loss: 4.469046592712402
Step 70, Loss: 4.364513397216797
Step 71, Loss: 4.250868320465088
Step 72, Loss: 4.394075393676758
Step 73, Loss: 4.332666397094727
Step 74, Loss: 4.1708664894104
Step 75, Loss: 4.195554733276367
Step 76, Loss: 4.198687553405762
Step 77, Loss: 4.228049278259277
Step 78, Loss: 4.0763702392578125
Step 79, Loss: 4.224342346191406
Step 80, Loss: 4.176078796386719
Step 81, Loss: 4.121794700622559
Step 82, Loss: 4.173676490783691
Step 83, Loss: 4.046125411987305
Step 84, Loss: 4.13035774230957
Step 85, Loss: 4.027125835418701
Step 86, Loss: 4.038161277770996
Step 87, Loss: 4.009915828704834
Step 88, Loss: 4.101548194885254
Step 89, Loss: 3.9176106452941895
Step 90, Loss: 3.8028740882873535
Step 91, Loss: 3.766483783721924
Step 92, Loss: 4.053875923156738
Step 93, Loss: 3.837209701538086
Step 94, Loss: 3.943681240081787
Step 95, Loss: 3.901419162750244
Step 96, Loss: 3.831648349761963
Step 97, Loss: 3.935725212097168
Step 98, Loss: 3.916271209716797
Step 99, Loss: 3.758443593978882
Step 100, Loss: 3.897535800933838
Step 101, Loss: 3.659275531768799
Step 102, Loss: 3.693449020385742
Step 103, Loss: 3.7919249534606934
Step 104, Loss: 3.82566499710083
Step 105, Loss: 3.6525073051452637
Step 106, Loss: 3.6931896209716797
Step 107, Loss: 3.74932861328125
Step 108, Loss: 3.9235198497772217
Step 109, Loss: 3.8030385971069336
Step 110, Loss: 3.90277099609375
Step 111, Loss: 4.012772083282471
Step 112, Loss: 3.925476551055908
Step 113, Loss: 3.766173839569092
Step 114, Loss: 3.645376205444336
Step 115, Loss: 3.8646559715270996
Step 116, Loss: 3.7479469776153564
Step 117, Loss: 3.6625783443450928
Step 118, Loss: 3.6295113563537598
Step 119, Loss: 3.6912052631378174
Step 120, Loss: 3.71630859375
Step 121, Loss: 3.75347900390625
Step 122, Loss: 3.8096964359283447
Step 123, Loss: 3.728667736053467
Step 124, Loss: 3.515357494354248
Step 125, Loss: 3.6078760623931885
Step 126, Loss: 3.5632801055908203
Step 127, Loss: 3.632803440093994
Step 128, Loss: 3.71364164352417
Step 129, Loss: 3.6706438064575195
Step 130, Loss: 3.5378518104553223
Step 131, Loss: 3.538869857788086
Step 132, Loss: 3.60092830657959
Step 133, Loss: 3.655874490737915
Step 134, Loss: 3.566159963607788
Step 135, Loss: 3.522104263305664
Step 136, Loss: 3.561356544494629
Step 137, Loss: 3.579108238220215
Step 138, Loss: 3.457552433013916
